"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Single description unknown model","alt-text-generator API Contract Harness","2026-03-14","passed","2026-03-14","","40 Negative Paths","",""
"","2","retries retryable upstream errors before succeeding","Unit | Services | OpenAI Compatible Vision Describer Service","2026-03-14","passed","2026-03-14","","","",""
"","2","treats docs and health endpoints as public","Unit | Middleware | Access Control","2026-03-14","passed","2026-03-14","","","",""
"","2","passes secure requests through so endpoint validation can handle query semantics","Unit | Middleware | Request Filter","2026-03-14","passed","2026-03-14","","","",""
"","2","parses supported CLI arguments","Unit | Scripts | GitHub | Write Newman Summary","2026-03-14","passed","2026-03-14","","","",""
"","1","normalizes content types without charset noise","Unit | Scripts | Postman | Provider Validation Fixture Probe","2026-03-14","passed","2026-03-14","","","",""
"","7","returns image list on success","Integration | API","2026-03-14","passed","2026-03-14","","GET /api/scraper/images","",""
"","0","uses a fast-forward update when target has no unique commits","Unit | Scripts | GitHub | Promote To Production","2026-03-14","passed","2026-03-14","","derivePromotionPlan","",""
"","2","creates a runtime describer and prefers an injected provider client","Unit | Providers | Definitions | Build OpenAI Compatible Provider","2026-03-14","passed","2026-03-14","","","",""
"","1","marks image-source download failures as skippable for page descriptions","Unit | Services | Azure Describer Service","2026-03-14","passed","2026-03-14","","","",""
"","3","reports missing failures and collection-summary issues when the JSON report is still parseable","Unit | Scripts | Postman | Newman Runner","2026-03-14","passed","2026-03-14","","","",""
"","2","exits the primary when the crash budget is exhausted","Unit | Server | Cluster Manager","2026-03-14","passed","2026-03-14","","","",""
"","1","runs protected deploy verification when auth is enabled with a token","Unit | Scripts | Run Postman Deploy","2026-03-14","passed","2026-03-14","","resolveProductionDeployAuthConfig","",""
"","3","builds environment properties from the current runtime and CI env","Unit | Allure Metadata Writer","2026-03-14","passed","2026-03-14","","","",""
"","2","requires the standard rate-limit headers case-insensitively","Unit | Scripts | Run Postman Deploy","2026-03-14","passed","2026-03-14","","hasRequiredRateLimitHeaders","",""
"","58","rejects Azure credentials without an endpoint","Unit | Utils | Validate Env Vars","2026-03-14","passed","2026-03-14","","","",""
"","1","falls back to zero counts and rewrites the report when parsing fails","Unit | Scripts | GitHub | Parse Security Audit Report","2026-03-14","passed","2026-03-14","","parseSecurityAuditReport","",""
"","1","returns image sources on success","Unit | Services | Scraper Service","2026-03-14","passed","2026-03-14","","ScraperService.getImages","",""
"","0","returns false for an empty string","Unit | URL Validator","2026-03-14","passed","2026-03-14","","","",""
"","9","requires both azure endpoint and credential","Unit | Scripts | Postman | Provider Validation Scope","2026-03-14","passed","2026-03-14","","detectAvailableProviders","",""
"","40","Provider validation page descriptions","alt-text-generator API Contract Harness","2026-03-14","passed","2026-03-14","","90 Provider Validation","",""
"","1","isImage(https://example.com/photo.bmp) === true","Unit | Services | Scraper Service","2026-03-14","passed","2026-03-14","","ScraperService.isImage","",""
"","2","does not restart workers that exit intentionally","Unit | Server | Cluster Manager","2026-03-14","passed","2026-03-14","","","",""
"","1","builds local provider-validation fixture URLs","Unit | Scripts | Postman | Local Provider Mocks","2026-03-14","passed","2026-03-14","","","",""
"","14","accepts provider-validation data-url payloads above the express default json limit","Unit | Scripts | Postman Fixture Server","2026-03-14","passed","2026-03-14","","","",""
"","1","serializes GitHub Actions outputs with trailing newlines","Unit | Allure History Policy","2026-03-14","passed","2026-03-14","","","",""
"","2","prefers the generated OpenAPI artifact over runtime swagger-jsdoc parsing","Unit | Config | Swagger","2026-03-14","passed","2026-03-14","","","",""
"","29","rejects missing required arguments","Unit | Scripts | GitHub | Sync Pages State Branch","2026-03-14","passed","2026-03-14","","","",""
"","1","maps the all scope to the configured live provider folders","Unit | Scripts | Postman | Provider Validation Scope","2026-03-14","passed","2026-03-14","","getSelectedProviderFolders","",""
"","290","accepts a Replicate-only provider configuration","Unit | Utils | Validate Env Vars","2026-03-14","passed","2026-03-14","","","",""
"","1","accepts successful required checks even when duplicate runs exist","Unit | Scripts | GitHub | Promote To Production","2026-03-14","passed","2026-03-14","","ensureRequiredChecksGreen","",""
"","13","uses the documented defaults when optional env vars are unset","Unit | Config | Index","2026-03-14","passed","2026-03-14","","","",""
"","1","allows Redis to be disabled explicitly even when REDIS_URL is present","Unit | Config | Rate Limit Store","2026-03-14","passed","2026-03-14","","","",""
"","1","extracts axios-style config, code, headers, and body preview","Unit | Utils | Get Upstream Error Summary","2026-03-14","passed","2026-03-14","","","",""
"","14","throws a clear error when the configured CA bundle file does not exist","Unit | Infrastructure | Outbound Trust","2026-03-14","passed","2026-03-14","","","",""
"","0","isImage(https://example.com/photo.png) === true","Unit | Services | Scraper Service","2026-03-14","passed","2026-03-14","","ScraperService.isImage","",""
"","26","Missing image returns 500","alt-text-generator API Contract Harness","2026-03-14","passed","2026-03-14","","20 Single Description (Azure Stub)","",""
"","2","writes a clean summary when no matching vulnerabilities are added","Unit | Scripts | GitHub | Review Dependencies","2026-03-14","passed","2026-03-14","","reviewDependencies","",""
"","1","isImage(https://example.com/photo.jpg?v=123) === true","Unit | Services | Scraper Service","2026-03-14","passed","2026-03-14","","ScraperService.isImage","",""
"","2","rejects malformed direct host headers instead of redirecting","Unit | Middleware | Request Filter","2026-03-14","passed","2026-03-14","","","",""
"","21","publishes runnable encoded examples for image and page endpoints","Unit | Config | Swagger","2026-03-14","passed","2026-03-14","","","",""
"","0","allows protected requests through when auth is explicitly disabled","Unit | Middleware | Access Control","2026-03-14","passed","2026-03-14","","","",""
