"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","serves public provider-validation fixtures before the API router","Unit | Utils | Create Router","2026-07-15","passed","2026-07-15","","","",""
"","4","writes and reads page metadata","Unit | Scripts | GitHub | Page Metadata","2026-07-15","passed","2026-07-15","","","",""
"","5","rejects protected endpoints without authentication","Integration | API","2026-07-15","passed","2026-07-15","","API access control","",""
"","13","keeps async provider-validation polling controls configurable from the environment","Unit | Scripts | Postman | Collection Utils","2026-07-15","passed","2026-07-15","","","",""
"","1","resolves api-key multimodal providers when they are explicitly requested","Unit | Scripts | GitHub | Resolve Provider Validation Scope","2026-07-15","passed","2026-07-15","","resolveScopeFromEnv","",""
"","17","allows auth tokens to stay configured while auth is explicitly disabled","Unit | Config | Index","2026-07-15","passed","2026-07-15","","","",""
"","2","surfaces every occupied port as a conflict in the preflight diagnosis","Unit | Scripts | Postman | Port Allocator","2026-07-15","passed","2026-07-15","","","",""
"","29","rejects missing required CLI arguments","Unit | Allure History Artifact Restore","2026-07-15","passed","2026-07-15","","","",""
"","1","rejects policy contexts that no push/pull_request workflow publishes","Unit | Scripts | GitHub | Required Check Policy","2026-07-15","passed","2026-07-15","","","",""
"","8","returns 400 when url is missing","Integration | API","2026-07-15","passed","2026-07-15","","GET /api/accessibility/descriptions","",""
"","1","rejects a reference to an internal working note (see jobs.md)","Unit | Scripts | Docs | Validate Docs","2026-07-15","passed","2026-07-15","","prohibited references","",""
"","1","isImage(https://example.com/photo.svg) === true","Unit | Services | Scraper Service","2026-07-15","passed","2026-07-15","","ScraperService.isImage","",""
"","0","never reports docs-only for an empty change set","Unit | Scripts | CI | Classify Changed Paths","2026-07-15","passed","2026-07-15","","classifyChangedPaths","",""
"","2","accepts requests with an inline status assertion but no header","Unit | Scripts | Postman | Collection Lint","2026-07-15","passed","2026-07-15","","lintStatusExpectations","",""
"","1","flags empty and whitespace-padded request names","Unit | Scripts | Postman | Collection Lint","2026-07-15","passed","2026-07-15","","lintRequestNames","",""
"","2","fails when an image fixture returns the wrong content type","Unit | Scripts | Postman | Provider Validation Fixture Probe","2026-07-15","passed","2026-07-15","","","",""
"","1","keeps non-main/non-production CI runs ephemeral","Unit | Allure History Policy","2026-07-15","passed","2026-07-15","","","",""
"","1","summarizes an accepted breach as blocking","Unit | Scripts | Performance Budget","2026-07-15","passed","2026-07-15","","","",""
"","2","refuses to write when content-length exceeds the size limit","Unit | Allure History Artifact Restore","2026-07-15","passed","2026-07-15","","downloadArtifactArchive","",""
"","1","flags duplicate order prefixes","Unit | Scripts | Postman | Collection Lint","2026-07-15","passed","2026-07-15","","lintFolderNames","",""
"","1","maps azure to azure only","Unit | Scripts | Postman | Provider Validation Scope","2026-07-15","passed","2026-07-15","","getSelectedProviders","",""
"","0","counts paths and operations","Unit | Scripts | OpenAPI | Validate Spec","2026-07-15","passed","2026-07-15","","summarize","",""
